id;Severity;age_classes;day_week;hour;impact1_classes;make;man_coll;month;speed_classes;rest_use;reljct2
229;1;10;7;12;1;7.0;1;9;5;3.0;1
230;1;4;7;12;15;2.0;1;9;5;3.0;1
232;0;3;1;15;1;4.0;1;9;5;1.0;8
236;0;4;1;24;13;7.0;1;10;3;3.0;3
238;1;11;4;9;1;7.0;1;10;4;1.0;1
239;1;6;5;17;13;3.0;4;10;3;1.0;8
242;1;9;4;17;18;7.0;4;11;2;3.0;2
243;1;9;3;23;13;7.0;1;11;5;3.0;1
244;0;8;7;14;1;7.0;1;11;5;1.0;1
245;1;8;4;14;1;7.0;1;11;3;3.0;8
248;1;4;6;13;13;4.0;2;11;3;1.0;12
250;0;7;7;13;7;10.0;2;11;3;3.0;1
255;0;5;4;16;13;2.0;4;12;4;1.0;2
256;0;3;6;20;1;2.0;4;11;4;1.0;8
258;1;3;3;20;13;2.0;4;11;4;1.0;2
259;1;3;7;12;13;4.0;4;11;3;1.0;3
260;1;10;3;17;13;10.0;2;11;3;1.0;1
265;1;8;6;12;13;10.0;4;12;4;3.0;2
268;0;3;4;18;13;2.0;3;3;7;1.0;1
310;1;3;3;24;2;8.0;1;8;4;3.0;1
342;0;7;3;15;1;7.0;1;1;4;1.0;1
344;0;7;5;18;13;7.0;4;1;4;2.0;2
345;1;3;3;9;13;4.0;3;1;3;2.0;3
346;1;8;4;17;21;7.0;5;1;5;2.0;1
347;0;6;6;20;1;2.0;1;1;4;2.0;1
349;1;13;7;7;18;7.0;1;1;5;2.0;1
351;0;3;7;14;18;2.0;6;1;2;2.0;1
352;1;9;6;15;13;7.0;1;1;4;1.0;1
353;0;10;1;11;1;3.0;6;1;4;2.0;1
355;0;6;2;10;13;1.0;3;1;4;1.0;3
356;1;3;3;9;1;2.0;1;1;4;1.0;2
357;0;3;1;17;1;10.0;1;1;3;2.0;2
359;0;3;4;19;1;2.0;1;1;5;2.0;1
360;0;6;7;18;13;7.0;1;1;6;2.0;1
364;1;9;6;10;1;7.0;1;1;4;2.0;8
368;1;4;3;14;1;8.0;1;2;6;2.0;1
372;1;7;1;15;13;7.0;2;2;5;2.0;1
374;0;9;3;10;1;7.0;1;2;4;2.0;1
375;0;5;2;21;1;2.0;1;2;6;2.0;1
382;0;11;1;11;1;7.0;1;2;4;1.0;1
383;0;10;1;12;1;7.0;1;2;4;1.0;1
384;0;9;7;12;13;2.0;3;1;5;2.0;1
386;0;10;6;16;7;7.0;2;2;4;2.0;1
393;0;8;5;16;13;7.0;2;2;5;2.0;1
396;0;5;7;2;13;7.0;2;3;6;2.0;1
397;0;6;7;2;7;2.0;2;3;4;2.0;1
407;0;7;6;16;1;7.0;1;3;5;2.0;1
409;0;6;4;7;13;7.0;4;3;5;2.0;2
412;1;10;5;9;1;8.0;1;3;3;2.0;8
414;0;6;4;20;1;4.0;1;3;4;2.0;8
417;0;5;5;19;13;4.0;3;3;5;2.0;1
419;0;6;3;6;13;7.0;4;3;3;2.0;1
423;1;6;6;9;13;2.0;2;4;5;2.0;1
425;0;8;2;16;13;10.0;3;4;4;2.0;1
431;1;7;1;18;1;2.0;1;1;3;1.0;1
432;0;4;5;14;13;4.0;2;4;4;2.0;8
435;0;11;3;14;1;7.0;1;4;5;1.0;1
438;0;4;3;9;1;2.0;1;5;4;2.0;2
443;0;9;7;18;13;7.0;2;5;4;2.0;1
444;0;6;3;7;1;10.0;1;4;5;1.0;1
449;0;6;7;10;1;7.0;1;4;4;2.0;1
452;0;10;1;13;1;7.0;1;4;5;2.0;1
463;1;4;1;22;13;8.0;2;2;5;2.0;1
464;1;3;1;22;13;4.0;4;2;3;2.0;8
470;0;6;6;23;1;10.0;1;4;5;2.0;1
473;1;3;3;22;13;4.0;4;5;5;2.0;8
476;1;4;5;16;13;2.0;3;5;3;2.0;1
478;1;6;1;15;1;8.0;1;5;5;1.0;1
479;0;5;7;16;13;4.0;1;5;5;2.0;1
482;1;5;3;7;13;2.0;2;5;5;2.0;1
483;1;9;7;17;1;2.0;1;5;2;2.0;2
489;0;4;6;18;15;4.0;1;5;5;2.0;1
496;1;5;1;18;13;10.0;4;5;4;2.0;2
503;1;4;5;21;13;4.0;4;6;4;2.0;2
506;1;4;2;13;13;7.0;4;6;4;2.0;2
507;0;8;6;23;7;7.0;2;6;5;2.0;1
518;1;11;4;18;1;2.0;1;7;4;1.0;1
525;1;7;1;14;15;6.0;1;7;4;2.0;1
526;0;5;4;5;7;7.0;2;7;4;2.0;1
535;1;9;6;6;18;2.0;4;7;5;1.0;1
544;0;6;7;21;1;7.0;1;7;4;1.0;1
547;0;8;1;16;2;7.0;4;6;3;2.0;2
552;0;3;5;2;13;2.0;1;7;6;3.0;1
554;1;7;7;16;18;7.0;5;5;4;2.0;1
555;1;6;1;14;1;7.0;2;8;4;2.0;8
556;1;9;1;14;13;7.0;2;8;4;2.0;8
559;0;3;3;10;13;8.0;2;8;5;2.0;12
560;0;3;6;20;13;8.0;3;8;5;2.0;1
572;0;6;7;10;21;7.0;5;6;5;1.0;1
588;1;9;6;17;13;7.0;4;7;5;1.0;2
592;1;9;7;9;1;4.0;1;8;4;2.0;1
597;1;9;2;14;13;7.0;1;7;3;1.0;1
599;1;8;3;14;15;7.0;1;8;5;2.0;1
603;1;9;4;15;13;7.0;4;7;3;2.0;8
606;1;5;7;24;13;8.0;2;3;7;2.0;1
617;0;4;5;12;13;2.0;4;9;7;2.0;2
620;0;6;1;16;13;1.0;3;9;4;2.0;3
624;0;4;6;10;19;4.0;4;8;3;2.0;3
626;1;7;1;15;13;4.0;4;8;3;2.0;8
627;1;3;6;22;1;4.0;1;9;5;2.0;8
630;1;10;3;14;1;10.0;1;9;2;3.0;1
636;0;10;1;22;22;7.0;5;9;6;2.0;1
641;0;10;4;7;21;7.0;4;8;4;2.0;2
658;1;10;6;12;1;2.0;1;10;4;2.0;1
662;1;10;4;10;1;8.0;1;9;2;1.0;1
670;1;5;7;23;1;7.0;1;9;4;1.0;1
673;1;3;1;12;13;4.0;3;9;4;1.0;1
675;0;8;1;12;13;7.0;3;9;3;1.0;1
676;1;8;1;12;21;7.0;3;9;3;1.0;1
678;0;10;1;12;18;7.0;3;9;3;1.0;1
679;0;8;1;12;18;1.0;3;9;4;1.0;1
680;1;5;1;13;13;4.0;2;9;4;1.0;3
683;0;4;3;8;13;2.0;4;9;4;1.0;8
687;0;10;6;14;13;2.0;3;9;3;2.0;1
688;0;7;7;14;13;2.0;3;10;6;1.0;3
689;1;10;7;18;13;7.0;1;10;3;1.0;1
690;0;7;7;22;13;7.0;4;10;3;1.0;2
694;0;8;7;11;8;7.0;1;10;4;1.0;1
696;0;10;7;11;15;7.0;1;10;4;1.0;1
698;0;10;7;11;13;7.0;1;10;4;1.0;1
702;0;4;5;22;13;10.0;1;10;5;2.0;1
703;1;7;6;11;1;8.0;1;9;4;2.0;1
706;0;12;3;7;1;8.0;1;8;4;2.0;1
707;1;5;7;11;1;10.0;1;10;5;2.0;8
710;0;10;6;5;13;10.0;2;10;4;1.0;1
712;0;11;7;16;1;7.0;1;10;5;2.0;1
713;0;8;4;20;13;7.0;4;4;4;1.0;2
719;0;6;1;16;13;1.0;6;10;4;1.0;1
722;0;8;1;16;13;10.0;4;10;3;2.0;1
729;0;7;6;6;18;7.0;4;11;5;2.0;1
730;1;3;6;19;13;10.0;2;12;5;2.0;1
