id;SEVERITY_classes;age_classes;day_week;DEFORMED_classes;m_harm_classes;hour;impact1_classes;lgt_cond;make;man_coll;month;p_crash1;pcrash4;pcrash5;rel_road;reljct1;reljct2;rest_use;sex;speedrel_classes;typ_int;valign;ve_total;vnum_lan;vsurcond;vtrafway;weather_classes
8898;0;1;5;4;5;23;1;2;10.0;1;5;1;2;2;1;0;1;1.0;1.0;1;1;2;1;3;3;2;1
1663;0;9;1;4;1;12;13;1;10.0;4;10;1;2;2;1;0;8;3.0;1.0;0;1;2;2;3;2;2;1
12945;1;6;1;4;3;16;15;1;7.0;1;4;8;2;3;8;1;5;1.0;1.0;1;1;3;1;2;2;7;1
8804;1;11;4;4;1;14;2;1;7.0;4;9;8;2;2;1;0;2;3.0;1.0;0;2;2;2;3;3;2;1
5439;1;8;6;2;1;17;15;1;2.0;1;4;1;2;3;4;0;1;2.0;1.0;1;1;2;2;3;2;2;1
10999;0;6;4;3;1;20;13;2;4.0;1;2;1;2;2;1;1;5;1.0;1.0;0;1;2;4;2;2;7;1
32073;1;7;6;2;1;18;2;1;7.0;5;7;7;2;2;1;0;3;4.0;1.0;0;2;2;2;3;2;2;1
23164;0;7;1;2;1;16;18;1;7.0;5;6;7;2;2;1;0;1;2.0;2.0;0;1;2;3;3;2;2;1
31033;0;10;4;2;1;15;13;1;10.0;4;1;1;2;2;1;0;1;1.0;1.0;0;1;2;2;3;2;2;1
7070;1;6;6;4;1;21;18;5;7.0;4;7;1;2;2;1;0;3;1.0;1.0;0;3;2;3;5;2;2;1
1803;1;3;5;4;1;22;13;3;4.0;4;8;1;2;2;1;0;2;3.0;1.0;0;3;2;2;3;2;2;1
11710;1;9;4;4;5;15;13;1;2.0;4;5;1;2;2;1;0;1;3.0;1.0;0;1;2;2;3;3;2;1
31730;1;3;6;4;1;21;21;3;10.0;5;8;1;2;2;1;0;8;4.0;1.0;0;1;2;2;5;2;4;1
12017;1;4;2;4;5;18;1;1;8.0;1;5;8;2;3;4;0;1;3.0;1.0;1;1;3;1;3;2;2;1
7652;0;4;7;4;1;14;1;1;8.0;1;10;1;3;2;1;0;1;1.0;1.0;1;1;2;2;3;2;2;1
24761;1;10;5;3;5;10;1;1;7.0;1;3;8;3;2;1;0;1;2.0;1.0;0;1;3;1;3;9;2;1
32866;0;5;1;3;1;4;13;3;4.0;1;4;1;3;3;4;0;3;4.0;1.0;1;3;2;1;3;2;2;1
34270;1;5;1;4;1;19;13;2;7.0;4;10;1;2;2;1;0;2;3.0;1.0;0;2;2;2;3;2;2;1
14410;0;5;5;2;1;1;13;3;7.0;2;6;8;2;2;1;0;1;3.0;1.0;1;1;4;2;6;2;4;1
32770;0;3;1;4;1;12;13;1;2.0;2;6;1;2;2;1;0;1;1.0;1.0;0;1;2;2;7;3;4;1
17605;0;7;1;4;1;17;13;1;7.0;4;4;1;2;2;1;0;2;1.0;1.0;0;2;2;2;3;2;2;1
18630;1;10;3;3;5;12;1;1;3.0;1;8;1;2;3;5;0;1;1.0;1.0;1;1;4;1;3;2;2;1
16306;1;4;6;4;1;17;13;1;10.0;4;5;1;2;2;1;0;2;3.0;1.0;0;3;2;2;5;2;5;1
20464;1;9;7;3;1;13;13;1;7.0;4;6;1;2;2;1;0;2;2.0;1.0;0;3;2;2;5;2;2;1
27543;0;10;1;4;1;12;7;1;7.0;2;2;2;2;2;1;0;8;1.0;1.0;0;1;2;2;3;2;2;1
24376;1;7;6;3;5;14;1;1;7.0;1;5;1;2;2;1;0;1;3.0;2.0;0;1;2;2;3;2;2;1
294;0;9;1;4;1;20;13;1;2.0;3;6;8;2;2;1;0;1;3.0;1.0;0;1;3;2;3;2;2;1
23172;0;9;4;3;1;8;13;1;7.0;2;6;1;2;2;1;0;1;2.0;2.0;0;1;2;3;5;2;4;1
20949;0;9;5;2;1;11;7;1;7.0;2;4;5;2;2;1;0;3;1.0;1.0;0;3;2;2;3;2;2;1
30008;1;4;3;4;1;22;21;6;11.0;4;4;8;2;6;1;0;8;4.0;1.0;0;1;1;2;1;1;1;1
30918;0;8;1;2;1;17;10;1;2.0;5;9;8;2;2;1;0;2;3.0;1.0;0;2;2;2;3;2;4;1
268;0;3;4;4;1;18;13;6;2.0;3;3;1;2;2;1;0;1;1.0;1.0;1;1;2;2;3;2;2;1
22340;0;12;7;4;1;8;13;1;2.0;2;7;1;2;2;1;0;8;1.0;1.0;0;1;2;2;3;2;4;1
4330;0;7;1;3;1;1;13;2;7.0;2;6;1;2;2;1;0;3;3.0;1.0;0;2;2;2;4;2;3;1
