id;Severity;age_classes;day_week;DEFORMED_classes;hour;impact1_classes;make;man_coll;month;reljct2;rest_use;vnum_lan;vtrafway
2399;1;7;4;4;13;1;7.0;1;5;2;2.0;5;5
5280;0;7;6;3;17;2;7.0;5;3;1;2.0;5;2
8461;0;7;7;4;9;13;7.0;1;11;1;3.0;3;2
11525;1;7;1;4;19;13;4.0;4;5;4;3.0;3;2
29335;1;4;7;2;17;12;2.0;6;8;1;3.0;3;2
1770;0;4;6;4;21;1;2.0;1;8;1;2.0;5;4
12015;1;9;4;4;15;2;7.0;4;2;2;3.0;3;2
13334;0;5;1;4;10;13;7.0;4;6;4;3.0;3;2
22942;0;4;5;2;18;2;7.0;5;6;1;3.0;3;2
1265;0;3;6;4;10;13;10.0;1;8;1;1.0;3;2
6622;1;8;1;3;12;13;2.0;1;11;1;1.0;3;2
29559;0;4;6;4;16;13;4.0;4;1;2;3.0;3;2
2255;1;10;4;4;13;13;2.0;4;2;2;2.0;3;2
17043;1;3;1;4;12;13;4.0;2;8;1;3.0;3;3
20268;0;9;3;2;16;1;7.0;1;9;2;2.0;5;2
36129;0;6;5;2;16;13;4.0;4;10;2;4.0;6;5
13740;0;5;1;4;14;1;7.0;1;7;1;3.0;3;3
12440;1;9;7;4;14;13;7.0;2;9;1;2.0;3;2
474;0;6;5;4;3;1;4.0;1;5;1;3.0;2;3
15521;0;10;4;4;10;1;10.0;1;5;1;2.0;3;2
31384;1;3;3;2;15;13;2.0;2;9;1;4.0;4;4
7831;1;7;4;4;16;13;10.0;4;9;2;1.0;3;4
27363;1;4;5;4;17;13;3.0;4;12;8;2.0;3;3
30411;1;4;5;2;16;13;8.0;4;5;2;3.0;3;2
24707;0;10;5;4;11;13;7.0;2;9;1;3.0;5;2
17454;0;7;2;4;16;13;7.0;2;7;1;2.0;4;2
5463;1;4;1;4;13;13;4.0;1;4;1;2.0;3;2
11511;1;10;6;4;18;1;2.0;1;4;1;3.0;4;4
5034;0;4;5;4;7;13;4.0;4;5;8;1.0;3;2
